code,O,Omega,Theta
"for rx in range(n):
    for we in range(n):
        print(rx + we)",O(n^2),O(n^2),O(n^2)
"for ht in range(n):
    for gq in range(n):
        print(ht + gq)",O(n^2),O(n^2),O(n^2)
"for js in range(n):
    for zm in range(n):
        print(js + zm)",O(n^2),O(n^2),O(n^2)
"for rz in range(n):
    for qa in range(n):
        print(rz + qa)",O(n^2),O(n^2),O(n^2)
"for oi in range(n):
    for bt in range(n):
        print(oi + bt)",O(n^2),O(n^2),O(n^2)
"for pu in range(n):
    for rs in range(n):
        print(pu + rs)",O(n^2),O(n^2),O(n^2)
"for rr in range(n):
    for cd in range(n):
        print(rr + cd)",O(n^2),O(n^2),O(n^2)
"for yv in range(n):
    for bk in range(n):
        print(yv + bk)",O(n^2),O(n^2),O(n^2)
"for sz in range(n):
    for ru in range(n):
        print(sz + ru)",O(n^2),O(n^2),O(n^2)
"for wh in range(n):
    for gp in range(n):
        print(wh + gp)",O(n^2),O(n^2),O(n^2)
"for gm in range(n):
    for gt in range(n):
        print(gm + gt)",O(n^2),O(n^2),O(n^2)
"for dz in range(n):
    for wo in range(n):
        print(dz + wo)",O(n^2),O(n^2),O(n^2)
"for pp in range(n):
    for wk in range(n):
        print(pp + wk)",O(n^2),O(n^2),O(n^2)
"for qv in range(n):
    for bl in range(n):
        print(qv + bl)",O(n^2),O(n^2),O(n^2)
"for pe in range(n):
    for rj in range(n):
        print(pe + rj)",O(n^2),O(n^2),O(n^2)
"for hx in range(n):
    for ya in range(n):
        print(hx + ya)",O(n^2),O(n^2),O(n^2)
"for mr in range(n):
    for lp in range(n):
        print(mr + lp)",O(n^2),O(n^2),O(n^2)
"for ed in range(n):
    for wv in range(n):
        for xk in range(n):
            _ = ed*wv*xk",O(n^3),O(n^3),O(n^3)
"for rw in range(n):
    for kf in range(n):
        for xs in range(n):
            _ = rw*kf*xs",O(n^3),O(n^3),O(n^3)
"for ol in range(n):
    for mr in range(n):
        for tu in range(n):
            _ = ol*mr*tu",O(n^3),O(n^3),O(n^3)
"for qr in range(n):
    for xk in range(n):
        for hy in range(n):
            _ = qr*xk*hy",O(n^3),O(n^3),O(n^3)
"for wn in range(n):
    for gy in range(n):
        for sf in range(n):
            _ = wn*gy*sf",O(n^3),O(n^3),O(n^3)
"for hf in range(n):
    for sy in range(n):
        for jx in range(n):
            _ = hf*sy*jx",O(n^3),O(n^3),O(n^3)
"for um in range(n):
    for ws in range(n):
        for bx in range(n):
            _ = um*ws*bx",O(n^3),O(n^3),O(n^3)
"for ll in range(n):
    for oa in range(n):
        for nq in range(n):
            _ = ll*oa*nq",O(n^3),O(n^3),O(n^3)
"for wo in range(n):
    for vj in range(n):
        for tf in range(n):
            _ = wo*vj*tf",O(n^3),O(n^3),O(n^3)
"for we in range(n):
    for qe in range(n):
        for dj in range(n):
            _ = we*qe*dj",O(n^3),O(n^3),O(n^3)
"for tw in range(n):
    for bf in range(n):
        for dy in range(n):
            _ = tw*bf*dy",O(n^3),O(n^3),O(n^3)
"for ro in range(n):
    for qy in range(n):
        for sp in range(n):
            _ = ro*qy*sp",O(n^3),O(n^3),O(n^3)
"for to in range(n):
    for sl in range(n):
        for kc in range(n):
            _ = to*sl*kc",O(n^3),O(n^3),O(n^3)
"for bs in range(n):
    for mk in range(n):
        for uy in range(n):
            _ = bs*mk*uy",O(n^3),O(n^3),O(n^3)
"for qw in range(n):
    for op in range(n):
        for cj in range(n):
            _ = qw*op*cj",O(n^3),O(n^3),O(n^3)
"for ym in range(n):
    for pc in range(n):
        for bd in range(n):
            _ = ym*pc*bd",O(n^3),O(n^3),O(n^3)
"for sf in range(n):
    for ce in range(n):
        for sq in range(n):
            _ = sf*ce*sq",O(n^3),O(n^3),O(n^3)
"for ex in range(n):
    for qt in range(n):
        for mb in range(n):
            _ = ex*qt*mb",O(n^3),O(n^3),O(n^3)
"for xy in range(n):
    for bn in range(n):
        for nu in range(n):
            _ = xy*bn*nu",O(n^3),O(n^3),O(n^3)
"for ir in range(n):
    for al in range(n):
        for ua in range(n):
            _ = ir*al*ua",O(n^3),O(n^3),O(n^3)
"for sy in range(n):
    for th in range(n):
        for uc in range(n):
            _ = sy*th*uc",O(n^3),O(n^3),O(n^3)
"for zx in range(n):
    for uk in range(n):
        for rs in range(n):
            _ = zx*uk*rs",O(n^3),O(n^3),O(n^3)
"for zv in range(n):
    for id in range(n):
        for gj in range(n):
            _ = zv*id*gj",O(n^3),O(n^3),O(n^3)
"for xi in range(n):
    for mu in range(n):
        for dq in range(n):
            _ = xi*mu*dq",O(n^3),O(n^3),O(n^3)
"for nx in range(n):
    for sa in range(n):
        for hk in range(n):
            _ = nx*sa*hk",O(n^3),O(n^3),O(n^3)
"for kr in range(n):
    for wd in range(n):
        for rh in range(n):
            _ = kr*wd*rh",O(n^3),O(n^3),O(n^3)
"for ih in range(n):
    for ex in range(n):
        for sv in range(n):
            _ = ih*ex*sv",O(n^3),O(n^3),O(n^3)
"for fk in range(n):
    for hy in range(n):
        for jg in range(n):
            _ = fk*hy*jg",O(n^3),O(n^3),O(n^3)
"for qn in range(n):
    for na in range(n):
        for py in range(n):
            _ = qn*na*py",O(n^3),O(n^3),O(n^3)
"for nk in range(n):
    for hh in range(n):
        for aq in range(n):
            _ = nk*hh*aq",O(n^3),O(n^3),O(n^3)
"for ze in range(n):
    for hu in range(n):
        for ww in range(n):
            _ = ze*hu*ww",O(n^3),O(n^3),O(n^3)
"for fx in range(n):
    for xq in range(n):
        for zl in range(n):
            _ = fx*xq*zl",O(n^3),O(n^3),O(n^3)
"for bj in range(n):
    for oq in range(n):
        for hl in range(n):
            _ = bj*oq*hl",O(n^3),O(n^3),O(n^3)
"for hh in range(n):
    for ip in range(n):
        for el in range(n):
            _ = hh*ip*el",O(n^3),O(n^3),O(n^3)
"for cd in range(n):
    for sm in range(n):
        for bx in range(n):
            _ = cd*sm*bx",O(n^3),O(n^3),O(n^3)
"for nb in range(n):
    for xy in range(n):
        for gr in range(n):
            _ = nb*xy*gr",O(n^3),O(n^3),O(n^3)
"for tg in range(n):
    for qe in range(n):
        for hx in range(n):
            _ = tg*qe*hx",O(n^3),O(n^3),O(n^3)
"for xh in range(n):
    for ov in range(n):
        for rd in range(n):
            _ = xh*ov*rd",O(n^3),O(n^3),O(n^3)
"for dq in range(n):
    for ln in range(n):
        for jy in range(n):
            _ = dq*ln*jy",O(n^3),O(n^3),O(n^3)
"for mz in range(n):
    for yc in range(n):
        for sa in range(n):
            _ = mz*yc*sa",O(n^3),O(n^3),O(n^3)
"for dz in range(n):
    for sq in range(n):
        for jg in range(n):
            _ = dz*sq*jg",O(n^3),O(n^3),O(n^3)
"for zt in range(n):
    for al in range(n):
        for wh in range(n):
            _ = zt*al*wh",O(n^3),O(n^3),O(n^3)
"for oq in range(n):
    for iz in range(n):
        for vc in range(n):
            _ = oq*iz*vc",O(n^3),O(n^3),O(n^3)
"for dk in range(n):
    for ep in range(n):
        for jk in range(n):
            _ = dk*ep*jk",O(n^3),O(n^3),O(n^3)
"for br in range(n):
    for gg in range(n):
        for jg in range(n):
            _ = br*gg*jg",O(n^3),O(n^3),O(n^3)
"for ox in range(n):
    for vy in range(n):
        for qt in range(n):
            _ = ox*vy*qt",O(n^3),O(n^3),O(n^3)
"for le in range(n):
    for wh in range(n):
        for uc in range(n):
            _ = le*wh*uc",O(n^3),O(n^3),O(n^3)
"for xm in range(n):
    for py in range(n):
        for fw in range(n):
            _ = xm*py*fw",O(n^3),O(n^3),O(n^3)
"for cw in range(n):
    for jn in range(n):
        for ep in range(n):
            _ = cw*jn*ep",O(n^3),O(n^3),O(n^3)
"for oa in range(n):
    for er in range(n):
        for qm in range(n):
            _ = oa*er*qm",O(n^3),O(n^3),O(n^3)
"for hk in range(n):
    for ha in range(n):
        for ki in range(n):
            _ = hk*ha*ki",O(n^3),O(n^3),O(n^3)
"for jz in range(n):
    for yx in range(n):
        for ck in range(n):
            _ = jz*yx*ck",O(n^3),O(n^3),O(n^3)
"for wv in range(n):
    for lr in range(n):
        for jk in range(n):
            _ = wv*lr*jk",O(n^3),O(n^3),O(n^3)
"for re in range(n):
    for rt in range(n):
        for vn in range(n):
            _ = re*rt*vn",O(n^3),O(n^3),O(n^3)
"for ir in range(n):
    for wq in range(n):
        for ix in range(n):
            _ = ir*wq*ix",O(n^3),O(n^3),O(n^3)
"for vq in range(n):
    for qq in range(n):
        for so in range(n):
            _ = vq*qq*so",O(n^3),O(n^3),O(n^3)
"for bw in range(n):
    for wq in range(n):
        for rf in range(n):
            _ = bw*wq*rf",O(n^3),O(n^3),O(n^3)
"for eb in range(n):
    for ex in range(n):
        for gp in range(n):
            _ = eb*ex*gp",O(n^3),O(n^3),O(n^3)
"for xs in range(n):
    for bv in range(n):
        for qa in range(n):
            _ = xs*bv*qa",O(n^3),O(n^3),O(n^3)
"for ko in range(n):
    for kt in range(n):
        for gu in range(n):
            _ = ko*kt*gu",O(n^3),O(n^3),O(n^3)
"for jj in range(n):
    for zh in range(n):
        for rd in range(n):
            _ = jj*zh*rd",O(n^3),O(n^3),O(n^3)
"for lg in range(n):
    for ik in range(n):
        for vq in range(n):
            _ = lg*ik*vq",O(n^3),O(n^3),O(n^3)
"for hx in range(n):
    for eu in range(n):
        for ad in range(n):
            _ = hx*eu*ad",O(n^3),O(n^3),O(n^3)
"for va in range(n):
    for gv in range(n):
        for jf in range(n):
            _ = va*gv*jf",O(n^3),O(n^3),O(n^3)
"for uw in range(n):
    for bl in range(n):
        for tk in range(n):
            _ = uw*bl*tk",O(n^3),O(n^3),O(n^3)
"for ew in range(n):
    for nk in range(n):
        for ie in range(n):
            _ = ew*nk*ie",O(n^3),O(n^3),O(n^3)
"for hw in range(n):
    for ya in range(n):
        for oj in range(n):
            _ = hw*ya*oj",O(n^3),O(n^3),O(n^3)
"for ds in range(n):
    for fn in range(n):
        for iv in range(n):
            _ = ds*fn*iv",O(n^3),O(n^3),O(n^3)
"for ui in range(n):
    for lp in range(n):
        for qv in range(n):
            _ = ui*lp*qv",O(n^3),O(n^3),O(n^3)
"for cl in range(n):
    for gy in range(n):
        for ag in range(n):
            _ = cl*gy*ag",O(n^3),O(n^3),O(n^3)
"for fq in range(n):
    for wv in range(n):
        for ku in range(n):
            _ = fq*wv*ku",O(n^3),O(n^3),O(n^3)
"for hu in range(n):
    for bn in range(n):
        for sk in range(n):
            _ = hu*bn*sk",O(n^3),O(n^3),O(n^3)
"for tk in range(n):
    for js in range(n):
        for sk in range(n):
            _ = tk*js*sk",O(n^3),O(n^3),O(n^3)
"for dp in range(n):
    for cx in range(n):
        for ym in range(n):
            _ = dp*cx*ym",O(n^3),O(n^3),O(n^3)
"for ks in range(n):
    for ae in range(n):
        for xt in range(n):
            _ = ks*ae*xt",O(n^3),O(n^3),O(n^3)
"for mt in range(n):
    for ao in range(n):
        for yn in range(n):
            _ = mt*ao*yn",O(n^3),O(n^3),O(n^3)
"for ax in range(n):
    for up in range(n):
        for so in range(n):
            _ = ax*up*so",O(n^3),O(n^3),O(n^3)
"for qb in range(n):
    for sa in range(n):
        for eg in range(n):
            _ = qb*sa*eg",O(n^3),O(n^3),O(n^3)
"for ia in range(n):
    for te in range(n):
        for we in range(n):
            _ = ia*te*we",O(n^3),O(n^3),O(n^3)
"for it in range(n):
    for hd in range(n):
        for fe in range(n):
            _ = it*hd*fe",O(n^3),O(n^3),O(n^3)
"for au in range(n):
    for rp in range(n):
        for rz in range(n):
            _ = au*rp*rz",O(n^3),O(n^3),O(n^3)
"for rk in range(n):
    for nr in range(n):
        for yf in range(n):
            _ = rk*nr*yf",O(n^3),O(n^3),O(n^3)
"for lr in range(n):
    for bk in range(n):
        for oa in range(n):
            _ = lr*bk*oa",O(n^3),O(n^3),O(n^3)
"for bz in range(n):
    for uv in range(n):
        for up in range(n):
            _ = bz*uv*up",O(n^3),O(n^3),O(n^3)
"for hu in range(n):
    for oz in range(n):
        for gq in range(n):
            _ = hu*oz*gq",O(n^3),O(n^3),O(n^3)
"for oh in range(n):
    for yv in range(n):
        for xa in range(n):
            _ = oh*yv*xa",O(n^3),O(n^3),O(n^3)
"for iz in range(n):
    for jv in range(n):
        for fm in range(n):
            _ = iz*jv*fm",O(n^3),O(n^3),O(n^3)
"for hu in range(n):
    for qn in range(n):
        for xh in range(n):
            _ = hu*qn*xh",O(n^3),O(n^3),O(n^3)
"for ln in range(n):
    for iq in range(n):
        for ui in range(n):
            _ = ln*iq*ui",O(n^3),O(n^3),O(n^3)
"for es in range(n):
    for uz in range(n):
        for ah in range(n):
            _ = es*uz*ah",O(n^3),O(n^3),O(n^3)
"for mf in range(n):
    for gr in range(n):
        for qx in range(n):
            _ = mf*gr*qx",O(n^3),O(n^3),O(n^3)
"for pw in range(n):
    for vf in range(n):
        for ya in range(n):
            _ = pw*vf*ya",O(n^3),O(n^3),O(n^3)
"for bn in range(n):
    for my in range(n):
        for bc in range(n):
            _ = bn*my*bc",O(n^3),O(n^3),O(n^3)
"for jw in range(n):
    for qw in range(n):
        for ui in range(n):
            _ = jw*qw*ui",O(n^3),O(n^3),O(n^3)
"for hb in range(n):
    for vz in range(n):
        for zl in range(n):
            _ = hb*vz*zl",O(n^3),O(n^3),O(n^3)
"for ln in range(n):
    for tw in range(n):
        for ke in range(n):
            _ = ln*tw*ke",O(n^3),O(n^3),O(n^3)
"for ed in range(n):
    for hg in range(n):
        for rd in range(n):
            _ = ed*hg*rd",O(n^3),O(n^3),O(n^3)
"for pb in range(n):
    for jh in range(n):
        for pw in range(n):
            _ = pb*jh*pw",O(n^3),O(n^3),O(n^3)
"for se in range(n):
    for mm in range(n):
        for mt in range(n):
            _ = se*mm*mt",O(n^3),O(n^3),O(n^3)
"for ww in range(n):
    for tz in range(n):
        for de in range(n):
            _ = ww*tz*de",O(n^3),O(n^3),O(n^3)
"for i in range(n):
    for j in range(n):
        for k in range(n):
            print(i, j, k)",O(n^3),O(n^3),O(n^3)
"print(""hola mundo"")",O(1),O(1),O(1)
x = 42,O(1),O(1),O(1)
return True,O(1),O(1),O(1)
y = x + 1,O(1),O(1),O(1)
result = a * b,O(1),O(1),O(1)
"print(""Done"")",O(1),O(1),O(1)
flag = False,O(1),O(1),O(1)
print(x),O(1),O(1),O(1)
"z = max(5, 10)",O(1),O(1),O(1)
is_even = (x % 2 == 0),O(1),O(1),O(1)
